sentence,language,country,user_id,time
"Saw a person with curly hair, green eyes at the bakery on 5th Avenue, around 10am, would love to catch up over coffee.",English,USA,user123,1633654800.0
"Met a kind soul at the subway station, shared an umbrella during the rain. Hoping to find you again.",English,USA,user456,1633654900.0
"I spotted you across the room at the jazz club last night, you wore a red dress and had a captivating smile.",English,USA,user789,1633692000.0
"Our brief conversation at the coffee shop this morning left me wanting more. You had the most intriguing insights on modern art.",English,USA,user123,1633735200.0
"Saw you jogging in Central Park, Sunday morning. Your energetic aura was contagious.",English,USA,user456,1633756800.0
"We exchanged glances at the bookstore near the history section, would love to discuss our common interests over coffee.",English,USA,user789,1633760400.0
"Shared a table with you at the crowded cafe and discussed our mutual love for indie music, would love to catch another concert together.",English,USA,user123,1633803600.0
"Met you at the rooftop party last Saturday, enjoyed our conversation about travel and adventure.",English,USA,user456,1633836000.0
"Saw you at the farmer's market. You recommended the organic honey. Would love to get more recommendations.",English,USA,user789,1633868400.0
"Our dogs seemed to like each other at the dog park. Maybe they're telling us something?",English,USA,user123,1633911600.0
"Missed my chance to ask you out at the gym. You were the friendly face who offered me a towel.",English,USA,user456,1633944000.0
"You helped me pick out a wine at the liquor store. Would love to share a glass sometime.",English,USA,user789,1633976400.0
"Bumped into you at the museum's modern art section, and our little chat about abstract art was the highlight of my day.",English,USA,user123,1634008800.0
"Saw you at the library on Tuesday afternoon. You were reading a Murakami novel. Would love to discuss it over coffee.",English,USA,user456,1634041200.0
"Our brief encounter at the bus stop during the rain was like a scene from a movie.",English,USA,user789,1634073600.0
"You were the charming person who helped me when I dropped my groceries. Would love to properly thank you over dinner.",English,USA,user123,1634106000.0
"Met you at the beach cleanup event last weekend. Your passion for the environment was inspiring.",English,USA,user456,1634138400.0
"Spotted you at the local pub during trivia night. Your knowledge of random facts was impressive.",English,USA,user789,1634170800.0
"We danced next to each other at the live concert in the park. Would love to catch up and see another show.",English,USA,user123,1634203200.0
"Crossed paths while hiking the trails last Saturday. Your adventurous spirit was refreshing.",English,USA,user456,1634235600.0
"Shared a laugh in the elevator about the quirky weather. Would enjoy continuing our light-hearted conversation.",English,USA,user789,1634268000.0
"You were the kind-hearted individual who returned my lost wallet at the mall. I'd love to treat you to lunch as a thank you.",English,USA,user123,1634300400.0
"Te vi no parque ontem, você estava com um cachorro golden retriever. Adoraria conhecer vocês dois.",Portuguese,Brazil,user456,1634332800.0
"Nos esbarramos na estação de metrô. Você estava lendo um livro que adoro. Gostaria de conversar mais sobre ele.",Portuguese,Brazil,user789,1634365200.0
"Nossos olhares se encontraram na livraria, você estava na seção de romances. Será que foi um sinal?",Portuguese,Brazil,user123,1634397600.0
"Você me ajudou quando eu tropecei na rua, não tive a chance de agradecer. Gostaria de te convidar para um café.",Portuguese,Brazil,user456,1634430000.0
"Trocamos algumas palavras na fila do cinema. Você tem um gosto incrível para filmes, adoraria assistir um com você.",Portuguese,Brazil,user789,1634462400.0
"Nos encontramos rapidamente na festa de sábado, e você tinha as melhores histórias de viagem. Adoraria ouvir mais.",Portuguese,Brazil,user123,1634494800.0
"Vi você na feira de artesanato, você apreciava as peças com tanta atenção. Gostaria de compartilhar essa apreciação artística.",Portuguese,Brazil,user456,1634527200.0
"Nossas bicicletas estavam lado a lado no sinal. Você comentou sobre o clima, gostaria de estender essa conversa simples.",Portuguese,Brazil,user789,1634559600.0
"Você me recomendou um bom livro na biblioteca, gostaria de saber suas outras recomendações e compartilhar pensamentos.",Portuguese,Brazil,user123,1634592000.0
"Nos encontramos no corredor do supermercado, você sugeriu o molho de tomate orgânico. Gostaria de cozinhar juntos?",Portuguese,Brazil,user456,1634624400.0
"Vi você meditando no parque, sua paz era contagiante. Gostaria de aprender um pouco mais sobre sua prática.",Portuguese,Brazil,user789,1634656800.0
"Você estava no café, escrevendo algo em seu notebook. Parecia profundo, gostaria de saber mais sobre seus pensamentos.",Portuguese,Brazil,user123,1634689200.0
"Tivemos uma breve conversa na fila do banco, você tinha uma perspectiva interessante sobre economia. Gostaria de discutir mais.",Portuguese,Brazil,user456,1634721600.0
"Você estava tirando fotos na praia durante o pôr do sol. Parecia apaixonado por fotografia, gostaria de ver suas obras.",Portuguese,Brazil,user789,1634754000.0
"i was walking down the street, drinking a pina colada. I heard a dark voice beside me say, would you like something hotter?", English, Brazil, user007, 1634559600.0

